iter	Passed	Remaining
0	97	48878
1	124	31019
2	165	27447
3	214	26603
4	253	25062
5	294	24266
6	323	22793
7	364	22438
8	412	22504
9	463	22713
10	497	22127
11	515	20961
12	551	20670
13	615	21351
14	660	21369
15	710	21496
16	740	21038117	772	20683118	802	20323119	840	2018220	932	21268
21	981	21322
22	1047	21719
23	1104	21896
24	1153	21908
25	1194	21774
26	1244	21794
27	1294	21820
28	1340	21766
29	1391	21803
30	1439	21780
31	1492	21823
32	1542	21833
33	1595	21871
34	1649	21914
35	1688	21762
36	1730	21649
37	1775	21587
38	1816	21476
39	1860	21395
40	1896	21235
41	1949	21263
42	1982	21071
43	2020	20935
44	2055	20785
45	2098	20710
46	2153	20754
47	2215	20865
48	2265	20854
49	2317	20859
50	2360	20780
51	2393	20618
52	2434	20534
53	2471	20414
54	2516	20361
55	2541	20153
56	2570	19978
57	2611	19902
58	2650	19811
59	2694	19757
60	2742	19737
61	2784	19670
62	2833	19653
63	2875	19588
64	2899	19406
65	2909	19132
66	2942	19017
67	2969	18868
68	3007	18786
69	3043	18695
70	3075	18582
71	3112	18500
72	3155	18457
73	3184	18334
74	3219	18244
75	3323	18543
76	3376	18546
77	3420	18507
78	3464	18460
79	3511	18436
80	3536	18292
81	3562	18161
82	3589	18034
83	3617	17916
84	3649	17817
85	3677	17702
86	3702	17576
87	3737	17499
88	3771	17418
89	3793	17282
90	3823	17186
91	3850	17077
92	3883	16996
93	3921	16939
94	3937	16786
95	3967	16697
96	4000	16618
97	4045	16592
98	4085	16546
99	4125	16500
100	4156	16418
101	4192	16360
102	4240	16346
103	4250	16185
104	4295	16157
105	4334	16113
106	4371	16055
107	4419	16040
108	4451	15969
109	4495	15939
110	4530	15876
111	4586	15890
112	4651	15931
113	4699	15913
114	4740	15869
115	4782	15831
116	4820	15779
117	4867	15755
118	4907	15712
119	4945	15662
120	4982	15607
121	5041	15621
122	5086	15591
123	5136	15574
124	5180	15540
125	5264	15624
126	5307	15587
127	5349	15548
128	5387	15493
129	5433	15464
130	5457	15371
131	5481	15282
132	5513	15213
133	5542	15138
134	5569	15058
135	5604	14999
136	5637	14938
137	5666	14864
138	5700	14804
139	5726	14724
140	5761	14669
141	5791	14600
142	5827	14548
143	5857	14481
144	5887	14414
145	5930	14379
146	5976	14350
147	6015	14306
148	6043	14237
149	6084	14197
150	6121	14147
151	6145	14070
152	6185	14029
153	6242	14025
154	6298	14020
155	6352	14008
156	6406	13995
157	6442	13944
158	6488	13914
159	6525	13866
160	6566	13826
161	6603	13777
162	6644	13738
163	6680	13685
164	6720	13645
165	6751	13583
